episode_id,ticker,detector,signal_asof,months_relative_to_episode_start,rank,percentile,score,selected,outcome
ABEV3-0002,ABEV3,LOW_VOL_252,2020-02-28,-3,12,0.2,0.01676586031666015,true,false
ABEV3-0002,ABEV3,LOW_VOL_252,2020-03-31,-2,12,0.2,0.02365506286067443,true,false
ABEV3-0002,ABEV3,LOW_VOL_252,2020-04-30,-1,9,0.15,0.02455067517850925,true,false
ABEV3-0002,ABEV3,LOW_VOL_252,2020-05-29,0,11,0.18333333333333332,0.025730436632462772,true,true
ABEV3-0002,ABEV3,LOW_VOL_252,2020-06-30,1,12,0.2,0.026604956478076196,true,false
ABEV3-0002,ABEV3,LOW_VOL_252,2020-07-31,2,11,0.18333333333333332,0.026615116333428206,true,false
ABEV3-0002,ABEV3,LOW_VOL_252,2020-08-31,3,10,0.16666666666666666,0.02664827468966496,true,true
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-02-28,-3,49,0.8166666666666667,0.02203856749311317,false,false
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-03-31,-2,55,0.9166666666666666,-0.1442024720423778,false,false
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-04-30,-1,45,0.75,-0.2951467268623025,false,false
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-05-29,0,50,0.8333333333333334,-0.3201626961069146,false,true
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-06-30,1,51,0.85,-0.2994535519125683,false,false
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-07-31,2,52,0.8666666666666667,-0.27474747474747485,false,false
ABEV3-0002,ABEV3,MOMENTUM_12_1,2020-08-31,3,49,0.8166666666666667,-0.1956882255389718,false,true
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-02-28,-3,54,0.9,0.01200218221494831,false,false
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-03-31,-2,58,0.9666666666666667,-0.2485788113695091,false,false
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-04-30,-1,45,0.75,-0.3345764517847629,false,false
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-05-29,0,49,0.8166666666666667,-0.3525179856115108,false,true
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-06-30,1,45,0.75,-0.3220518244315177,false,false
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-07-31,2,38,0.6333333333333333,-0.2361702127659575,false,false
ABEV3-0002,ABEV3,MOMENTUM_6_1,2020-08-31,3,26,0.43333333333333335,0.0006877579092161579,false,true
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-02-28,-3,,,,false,false
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-03-31,-2,,,,false,false
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-04-30,-1,,,,false,false
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-05-29,0,,,,false,true
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-06-30,1,,,,false,false
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-07-31,2,,,,false,false
ABEV3-0002,ABEV3,MOMENTUM_LOW_VOL,2020-08-31,3,,,,false,true
ABEV3-0002,ABEV3,REVERSAL_21,2020-02-28,-3,3,0.05,-0.21832884097035044,true,false
ABEV3-0002,ABEV3,REVERSAL_21,2020-03-31,-2,53,0.8833333333333333,-0.13686382393397512,false,false
ABEV3-0002,ABEV3,REVERSAL_21,2020-04-30,-1,3,0.05,-0.06565252201761407,true,false
ABEV3-0002,ABEV3,REVERSAL_21,2020-05-29,0,37,0.6166666666666667,0.09572649572649583,false,true
ABEV3-0002,ABEV3,REVERSAL_21,2020-06-30,1,39,0.65,0.11232449297971914,false,false
ABEV3-0002,ABEV3,REVERSAL_21,2020-07-31,2,13,0.21666666666666667,0.013231197771587766,false,false
ABEV3-0002,ABEV3,REVERSAL_21,2020-08-31,3,7,0.11666666666666667,-0.12371134020618557,true,true
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-02-28,-3,40,0.6666666666666666,0.2018746940207421,false,false
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-03-31,-2,41,0.6833333333333333,0.42346808020526283,false,false
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-04-30,-1,56,0.9333333333333333,-0.22462611214038875,false,false
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-05-29,0,50,0.8333333333333334,-0.034101249663209376,false,true
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-06-30,1,57,0.95,-0.03420870711150181,false,false
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-07-31,2,16,0.26666666666666666,0.27615904326985974,false,false
ABEV3-0002,ABEV3,VOLUME_SURGE,2020-08-31,3,39,0.65,0.021804883590091473,false,true
ABEV3-0003,ABEV3,52W_HIGH,2020-05-29,-3,42,0.7,0.6214251090644692,false,true
ABEV3-0003,ABEV3,52W_HIGH,2020-06-30,-2,39,0.65,0.6912263693650025,false,false
ABEV3-0003,ABEV3,52W_HIGH,2020-07-31,-1,48,0.8,0.705283567619971,false,false
ABEV3-0003,ABEV3,52W_HIGH,2020-08-31,0,48,0.8,0.6505102040816326,false,true
ABEV3-0003,ABEV3,52W_HIGH,2020-09-30,1,42,0.7,0.6301020408163265,false,false
ABEV3-0003,ABEV3,52W_HIGH,2020-10-30,2,32,0.5333333333333333,0.6706555671175859,false,true
ABEV3-0003,ABEV3,52W_HIGH,2020-11-30,3,37,0.6166666666666667,0.745057232049948,false,false
ABEV3-0003,ABEV3,LOW_VOL_252,2020-05-29,-3,11,0.18333333333333332,0.025730436632462772,true,true
ABEV3-0003,ABEV3,LOW_VOL_252,2020-06-30,-2,12,0.2,0.026604956478076196,true,false
ABEV3-0003,ABEV3,LOW_VOL_252,2020-07-31,-1,11,0.18333333333333332,0.026615116333428206,true,false
ABEV3-0003,ABEV3,LOW_VOL_252,2020-08-31,0,10,0.16666666666666666,0.02664827468966496,true,true
ABEV3-0003,ABEV3,LOW_VOL_252,2020-09-30,1,10,0.16666666666666666,0.027307118327628978,true,false
ABEV3-0003,ABEV3,LOW_VOL_252,2020-10-30,2,9,0.15,0.02770297397246986,true,true
ABEV3-0003,ABEV3,LOW_VOL_252,2020-11-30,3,11,0.18333333333333332,0.02864363904274487,true,false
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-05-29,-3,50,0.8333333333333334,-0.3201626961069146,false,true
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-06-30,-2,51,0.85,-0.2994535519125683,false,false
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-07-31,-1,52,0.8666666666666667,-0.27474747474747485,false,false
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-08-31,0,49,0.8166666666666667,-0.1956882255389718,false,true
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-09-30,1,54,0.9,-0.3410852713178295,false,false
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-10-30,2,48,0.8,-0.33886509635974305,false,true
ABEV3-0003,ABEV3,MOMENTUM_12_1,2020-11-30,3,42,0.7,-0.2649807586586037,false,false
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-05-29,-3,49,0.8166666666666667,-0.3525179856115108,false,true
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-06-30,-2,45,0.75,-0.3220518244315177,false,false
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-07-31,-1,38,0.6333333333333333,-0.2361702127659575,false,false
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-08-31,0,26,0.43333333333333335,0.0006877579092161579,false,true
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-09-30,1,52,0.8666666666666667,0.015936254980079667,false,false
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-10-30,2,28,0.4666666666666667,0.08906525573192248,false,true
ABEV3-0003,ABEV3,MOMENTUM_6_1,2020-11-30,3,25,0.4166666666666667,0.07131410256410242,false,false
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-05-29,-3,,,,false,true
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-06-30,-2,,,,false,false
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-07-31,-1,,,,false,false
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-08-31,0,,,,false,true
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-09-30,1,,,,false,false
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-10-30,2,,,,false,true
ABEV3-0003,ABEV3,MOMENTUM_LOW_VOL,2020-11-30,3,,,,false,false
ABEV3-0003,ABEV3,REVERSAL_21,2020-05-29,-3,37,0.6166666666666667,0.09572649572649583,false,true
ABEV3-0003,ABEV3,REVERSAL_21,2020-06-30,-2,39,0.65,0.11232449297971914,false,false
ABEV3-0003,ABEV3,REVERSAL_21,2020-07-31,-1,13,0.21666666666666667,0.013231197771587766,false,false
ABEV3-0003,ABEV3,REVERSAL_21,2020-08-31,0,7,0.11666666666666667,-0.12371134020618557,true,true
ABEV3-0003,ABEV3,REVERSAL_21,2020-09-30,1,51,0.85,-0.03137254901960784,false,false
ABEV3-0003,ABEV3,REVERSAL_21,2020-10-30,2,40,0.6666666666666666,0.043724696356275405,false,true
ABEV3-0003,ABEV3,REVERSAL_21,2020-11-30,3,23,0.38333333333333336,0.07105459985041152,false,false
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-05-29,-3,50,0.8333333333333334,-0.034101249663209376,false,true
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-06-30,-2,57,0.95,-0.03420870711150181,false,false
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-07-31,-1,16,0.26666666666666666,0.27615904326985974,false,false
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-08-31,0,39,0.65,0.021804883590091473,false,true
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-09-30,1,48,0.8,-0.10857107409711275,false,false
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-10-30,2,27,0.45,-0.042908393547314794,false,true
ABEV3-0003,ABEV3,VOLUME_SURGE,2020-11-30,3,26,0.43333333333333335,0.1824387633713651,false,false
ABEV3-0004,ABEV3,52W_HIGH,2020-07-31,-3,48,0.8,0.705283567619971,false,false
ABEV3-0004,ABEV3,52W_HIGH,2020-08-31,-2,48,0.8,0.6505102040816326,false,true
ABEV3-0004,ABEV3,52W_HIGH,2020-09-30,-1,42,0.7,0.6301020408163265,false,false
ABEV3-0004,ABEV3,52W_HIGH,2020-10-30,0,32,0.5333333333333333,0.6706555671175859,false,true
ABEV3-0004,ABEV3,52W_HIGH,2020-11-30,1,37,0.6166666666666667,0.745057232049948,false,false
ABEV3-0004,ABEV3,52W_HIGH,2020-12-30,2,27,0.45,0.8298647242455776,false,false
ABEV3-0004,ABEV3,52W_HIGH,2021-01-29,3,30,0.5,0.8157480314960629,false,false
ABEV3-0004,ABEV3,LOW_VOL_252,2020-07-31,-3,11,0.18333333333333332,0.026615116333428206,true,false
ABEV3-0004,ABEV3,LOW_VOL_252,2020-08-31,-2,10,0.16666666666666666,0.02664827468966496,true,true
ABEV3-0004,ABEV3,LOW_VOL_252,2020-09-30,-1,10,0.16666666666666666,0.027307118327628978,true,false
ABEV3-0004,ABEV3,LOW_VOL_252,2020-10-30,0,9,0.15,0.02770297397246986,true,true
ABEV3-0004,ABEV3,LOW_VOL_252,2020-11-30,1,11,0.18333333333333332,0.02864363904274487,true,false
